"Participant","Illusion_Type","Illusion_Difference","Illusion_Strength","File","Block","Trial","ISI","RT","Response","Response_Correct","Error","Illusion_Effect","Task_Difficulty","Condition_Illusion","Condition_Difficulty"
"S012","MullerLyer",0.45,9,"MullerLyer_9.00000_0.45000.png","A",1,582364,1.124,"arrowup","arrowup",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"S012","MullerLyer",-0.30447,9,"MullerLyer_9.00000_-0.30447.png","A",2,584165,1.395,"arrowdown","arrowdown",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"S012","MullerLyer",-0.45,-27,"MullerLyer_-27.000_-0.4500.png","A",3,586177,0.923,"arrowdown","arrowdown",0,"Congruent",0.45,"Congruent - Strong","Easy"
"S012","MullerLyer",0.08716,-9,"MullerLyer_-9.0000_0.08716.png","A",4,587813,1.084,"arrowup","arrowup",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"S012","MullerLyer",0.18509,-3,"MullerLyer_-3.0000_0.18509.png","A",5,589814,1.23,"arrowup","arrowup",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"S012","MullerLyer",0.45,3,"MullerLyer_3.00000_0.45000.png","A",6,591751,1.178,"arrowup","arrowup",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"S012","MullerLyer",0.45,-9,"MullerLyer_-9.0000_0.45000.png","A",7,593648,1.411,"arrowup","arrowup",0,"Congruent",0.45,"Congruent - Mild","Easy"
"S012","MullerLyer",-0.45,15,"MullerLyer_15.0000_-0.4500.png","A",8,595782,2.169,"arrowdown","arrowdown",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"S012","MullerLyer",0.30447,-9,"MullerLyer_-9.0000_0.30447.png","A",9,598799,1.041,"arrowup","arrowup",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"S012","MullerLyer",0.08716,-21,"MullerLyer_-21.000_0.08716.png","A",10,600630,1.093,"arrowup","arrowup",0,"Congruent",0.08716,"Congruent - Strong","Hard"
"S012","MullerLyer",0.45,-21,"MullerLyer_-21.000_0.45000.png","A",11,602539,1.157,"arrowup","arrowup",0,"Congruent",0.45,"Congruent - Strong","Easy"
"S012","MullerLyer",-0.18509,-15,"MullerLyer_-15.000_-0.18509.png","A",12,604546,1.614,"arrowdown","arrowdown",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"S012","MullerLyer",0.08716,-27,"MullerLyer_-27.000_0.08716.png","A",13,606914,1.053,"arrowup","arrowup",0,"Congruent",0.08716,"Congruent - Strong","Hard"
"S012","MullerLyer",-0.18509,21,"MullerLyer_21.0000_-0.18509.png","A",14,608916,2.852,"arrowdown","arrowdown",0,"Incongruent",0.18509,"Incongruent - Strong","Hard"
"S012","MullerLyer",-0.30447,15,"MullerLyer_15.0000_-0.30447.png","A",15,612827,2.649,"arrowdown","arrowdown",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"S012","MullerLyer",-0.08716,-21,"MullerLyer_-21.000_-0.08716.png","A",16,616227,1.125,"arrowdown","arrowdown",0,"Congruent",0.08716,"Congruent - Strong","Hard"
"S012","MullerLyer",-0.45,-21,"MullerLyer_-21.000_-0.4500.png","A",17,618135,1.275,"arrowup","arrowdown",1,"Congruent",0.45,"Congruent - Strong","Easy"
"S012","MullerLyer",-0.30447,21,"MullerLyer_21.0000_-0.30447.png","A",18,620093,2.798,"arrowup","arrowdown",1,"Incongruent",0.30447,"Incongruent - Strong","Easy"
"S012","MullerLyer",0.30447,15,"MullerLyer_15.0000_0.30447.png","A",19,623640,1.905,"arrowup","arrowup",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"S012","MullerLyer",-0.45,3,"MullerLyer_3.00000_-0.4500.png","A",20,626534,1.098,"arrowdown","arrowdown",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"S012","MullerLyer",-0.08716,15,"MullerLyer_15.0000_-0.08716.png","A",21,628667,0.972,"arrowup","arrowdown",1,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"S012","MullerLyer",0.08716,21,"MullerLyer_21.0000_0.08716.png","A",22,630274,1.605,"arrowdown","arrowup",1,"Incongruent",0.08716,"Incongruent - Strong","Hard"
"S012","MullerLyer",-0.08716,3,"MullerLyer_3.00000_-0.08716.png","A",23,632677,1.414,"arrowdown","arrowdown",0,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"S012","MullerLyer",0.18509,3,"MullerLyer_3.00000_0.18509.png","A",24,635065,2.105,"arrowup","arrowup",0,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"S012","MullerLyer",0.45,-27,"MullerLyer_-27.000_0.45000.png","A",25,638286,0.941,"arrowup","arrowup",0,"Congruent",0.45,"Congruent - Strong","Easy"
"S012","MullerLyer",0.18509,9,"MullerLyer_9.00000_0.18509.png","A",26,640340,2.438,"arrowdown","arrowup",1,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"S012","MullerLyer",-0.08716,21,"MullerLyer_21.0000_-0.08716.png","A",27,643827,1.733,"arrowup","arrowdown",1,"Incongruent",0.08716,"Incongruent - Strong","Hard"
"S012","MullerLyer",-0.30447,-21,"MullerLyer_-21.000_-0.30447.png","A",28,646662,0.946,"arrowdown","arrowdown",0,"Congruent",0.30447,"Congruent - Strong","Easy"
"S012","MullerLyer",0.30447,-15,"MullerLyer_-15.000_0.30447.png","A",29,648412,0.757,"arrowup","arrowup",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"S012","MullerLyer",0.45,-15,"MullerLyer_-15.000_0.45000.png","A",30,649967,1.061,"arrowup","arrowup",0,"Congruent",0.45,"Congruent - Mild","Easy"
"S012","MullerLyer",-0.18509,3,"MullerLyer_3.00000_-0.18509.png","A",31,651968,1.032,"arrowdown","arrowdown",0,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"S012","MullerLyer",0.08716,15,"MullerLyer_15.0000_0.08716.png","A",32,653845,1.862,"arrowdown","arrowup",1,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"S012","MullerLyer",0.45,-3,"MullerLyer_-3.0000_0.45000.png","A",33,656398,0.842,"arrowup","arrowup",0,"Congruent",0.45,"Congruent - Mild","Easy"
"S012","MullerLyer",-0.30447,-9,"MullerLyer_-9.0000_-0.30447.png","A",34,657909,0.908,"arrowdown","arrowdown",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"S012","MullerLyer",0.30447,21,"MullerLyer_21.0000_0.30447.png","A",35,659631,2.172,"arrowdown","arrowup",1,"Incongruent",0.30447,"Incongruent - Strong","Easy"
