Participant,Illusion_Type,Illusion_Difference,Illusion_Strength,File,Block,Trial,ISI,RT,Response,Response_Correct,Error
S017,MullerLyer,0.18509,-27.0,MullerLyer_-27.000_0.18509.png,A,1.0,721322.0,0.478,arrowup,arrowup,0
S017,MullerLyer,-0.45,-9.0,MullerLyer_-9.0000_-0.4500.png,A,2.0,722519.0,0.509,arrowdown,arrowdown,0
S017,MullerLyer,-0.45,21.0,MullerLyer_21.0000_-0.4500.png,A,3.0,723912.0,2.497,arrowdown,arrowdown,0
S017,MullerLyer,-0.18509,9.0,MullerLyer_9.00000_-0.18509.png,A,4.0,727414.0,0.776,arrowup,arrowdown,1
S017,MullerLyer,-0.18509,27.0,MullerLyer_27.0000_-0.18509.png,A,5.0,728993.0,0.473,arrowup,arrowdown,1
S017,MullerLyer,0.45,-21.0,MullerLyer_-21.000_0.45000.png,A,6.0,730501.0,0.43,arrowup,arrowup,0
S017,MullerLyer,0.30447,-27.0,MullerLyer_-27.000_0.30447.png,A,7.0,731837.0,0.481,arrowup,arrowup,0
S017,MullerLyer,-0.08716,15.0,MullerLyer_15.0000_-0.08716.png,A,8.0,733402.0,0.648,arrowup,arrowdown,1
S017,MullerLyer,0.30447,15.0,MullerLyer_15.0000_0.30447.png,A,9.0,735054.0,1.364,arrowup,arrowup,0
S017,MullerLyer,-0.18509,21.0,MullerLyer_21.0000_-0.18509.png,A,10.0,737427.0,1.081,arrowup,arrowdown,1
S017,MullerLyer,0.08716,-27.0,MullerLyer_-27.000_0.08716.png,A,11.0,739309.0,0.518,arrowup,arrowup,0
S017,MullerLyer,0.45,27.0,MullerLyer_27.0000_0.45000.png,A,12.0,740441.0,1.326,arrowup,arrowup,0
S017,MullerLyer,0.45,15.0,MullerLyer_15.0000_0.45000.png,A,13.0,742867.0,0.583,arrowup,arrowup,0
S017,MullerLyer,-0.08716,3.0,MullerLyer_3.00000_-0.08716.png,A,14.0,744331.0,1.664,arrowdown,arrowdown,0
S017,MullerLyer,-0.45,-3.0,MullerLyer_-3.0000_-0.4500.png,A,15.0,746750.0,0.588,arrowdown,arrowdown,0
S017,MullerLyer,-0.18509,-27.0,MullerLyer_-27.000_-0.18509.png,A,16.0,748136.0,0.491,arrowdown,arrowdown,0
S017,MullerLyer,-0.08716,21.0,MullerLyer_21.0000_-0.08716.png,A,17.0,749583.0,0.556,arrowup,arrowdown,1
S017,MullerLyer,0.08716,-21.0,MullerLyer_-21.000_0.08716.png,A,18.0,750967.0,0.95,arrowup,arrowup,0
S017,MullerLyer,0.45,-9.0,MullerLyer_-9.0000_0.45000.png,A,19.0,752814.0,0.477,arrowup,arrowup,0
S017,MullerLyer,-0.45,27.0,MullerLyer_27.0000_-0.4500.png,A,20.0,754328.0,0.523,arrowdown,arrowdown,0
S017,MullerLyer,0.18509,15.0,MullerLyer_15.0000_0.18509.png,A,21.0,755642.0,0.547,arrowdown,arrowup,1
S017,MullerLyer,-0.08716,-15.0,MullerLyer_-15.000_-0.08716.png,A,22.0,757181.0,0.497,arrowdown,arrowdown,0
S017,MullerLyer,0.18509,-15.0,MullerLyer_-15.000_0.18509.png,A,23.0,758421.0,0.444,arrowup,arrowup,0
S017,MullerLyer,-0.18509,-15.0,MullerLyer_-15.000_-0.18509.png,A,24.0,759898.0,0.433,arrowdown,arrowdown,0
S017,MullerLyer,0.08716,9.0,MullerLyer_9.00000_0.08716.png,A,25.0,761204.0,0.79,arrowdown,arrowup,1
S017,MullerLyer,-0.08716,27.0,MullerLyer_27.0000_-0.08716.png,A,26.0,763029.0,0.492,arrowup,arrowdown,1
S017,MullerLyer,-0.18509,-3.0,MullerLyer_-3.0000_-0.18509.png,A,27.0,764490.0,0.466,arrowdown,arrowdown,0
S017,MullerLyer,0.08716,-15.0,MullerLyer_-15.000_0.08716.png,A,28.0,765849.0,0.432,arrowup,arrowup,0
S017,MullerLyer,-0.08716,-21.0,MullerLyer_-21.000_-0.08716.png,A,29.0,767009.0,0.537,arrowdown,arrowdown,0
S017,MullerLyer,0.30447,-3.0,MullerLyer_-3.0000_0.30447.png,A,30.0,768415.0,0.459,arrowup,arrowup,0
S017,MullerLyer,-0.08716,-9.0,MullerLyer_-9.0000_-0.08716.png,A,31.0,769537.0,0.42,arrowdown,arrowdown,0
S017,MullerLyer,0.45,-15.0,MullerLyer_-15.000_0.45000.png,A,32.0,771042.0,0.419,arrowup,arrowup,0
S017,MullerLyer,-0.08716,9.0,MullerLyer_9.00000_-0.08716.png,A,33.0,772304.0,1.165,arrowup,arrowdown,1
S017,MullerLyer,0.30447,-21.0,MullerLyer_-21.000_0.30447.png,A,34.0,774385.0,0.437,arrowup,arrowup,0
S017,MullerLyer,0.18509,21.0,MullerLyer_21.0000_0.18509.png,A,35.0,775654.0,0.594,arrowdown,arrowup,1
S017,MullerLyer,0.08716,-3.0,MullerLyer_-3.0000_0.08716.png,A,36.0,777360.0,0.5,arrowup,arrowup,0
S017,MullerLyer,0.30447,-15.0,MullerLyer_-15.000_0.30447.png,A,37.0,778667.0,0.475,arrowup,arrowup,0
S017,MullerLyer,-0.18509,3.0,MullerLyer_3.00000_-0.18509.png,A,38.0,780049.0,0.569,arrowdown,arrowdown,0
S017,MullerLyer,-0.08716,-27.0,MullerLyer_-27.000_-0.08716.png,A,39.0,781602.0,0.508,arrowdown,arrowdown,0
S017,MullerLyer,0.18509,9.0,MullerLyer_9.00000_0.18509.png,A,40.0,783075.0,1.224,arrowup,arrowup,0
S017,MullerLyer,-0.18509,15.0,MullerLyer_15.0000_-0.18509.png,A,41.0,785022.0,2.09,arrowup,arrowdown,1
S017,MullerLyer,0.18509,27.0,MullerLyer_27.0000_0.18509.png,A,42.0,787811.0,0.665,arrowdown,arrowup,1
S017,MullerLyer,-0.30447,21.0,MullerLyer_21.0000_-0.30447.png,A,43.0,789565.0,1.938,arrowdown,arrowdown,0
S017,MullerLyer,-0.30447,9.0,MullerLyer_9.00000_-0.30447.png,A,44.0,792439.0,0.558,arrowdown,arrowdown,0
S017,MullerLyer,-0.08716,-3.0,MullerLyer_-3.0000_-0.08716.png,A,45.0,793801.0,0.824,arrowdown,arrowdown,0
S017,MullerLyer,-0.30447,-3.0,MullerLyer_-3.0000_-0.30447.png,A,46.0,795685.0,0.519,arrowdown,arrowdown,0
S017,MullerLyer,-0.30447,-27.0,MullerLyer_-27.000_-0.30447.png,A,47.0,797050.0,0.478,arrowdown,arrowdown,0
S017,MullerLyer,-0.18509,-21.0,MullerLyer_-21.000_-0.18509.png,A,48.0,798466.0,0.672,arrowdown,arrowdown,0
S017,MullerLyer,0.08716,15.0,MullerLyer_15.0000_0.08716.png,A,49.0,800240.0,0.627,arrowdown,arrowup,1
S017,MullerLyer,0.30447,27.0,MullerLyer_27.0000_0.30447.png,A,50.0,801835.0,0.487,arrowdown,arrowup,1
S017,MullerLyer,0.08716,27.0,MullerLyer_27.0000_0.08716.png,A,51.0,803165.0,0.544,arrowdown,arrowup,1
S017,MullerLyer,0.18509,-9.0,MullerLyer_-9.0000_0.18509.png,A,52.0,804738.0,0.45,arrowup,arrowup,0
S017,MullerLyer,-0.30447,-21.0,MullerLyer_-21.000_-0.30447.png,A,53.0,806128.0,0.42,arrowdown,arrowdown,0
S017,MullerLyer,0.45,9.0,MullerLyer_9.00000_0.45000.png,A,54.0,807311.0,0.516,arrowup,arrowup,0
S017,MullerLyer,-0.45,-21.0,MullerLyer_-21.000_-0.4500.png,A,55.0,808666.0,0.457,arrowdown,arrowdown,0
S017,MullerLyer,0.45,3.0,MullerLyer_3.00000_0.45000.png,A,56.0,809927.0,0.475,arrowup,arrowup,0
S017,MullerLyer,0.30447,3.0,MullerLyer_3.00000_0.30447.png,A,57.0,811065.0,0.707,arrowup,arrowup,0
S017,MullerLyer,-0.45,-27.0,MullerLyer_-27.000_-0.4500.png,A,58.0,812492.0,0.466,arrowdown,arrowdown,0
S017,MullerLyer,-0.18509,-9.0,MullerLyer_-9.0000_-0.18509.png,A,59.0,813695.0,0.553,arrowdown,arrowdown,0
S017,MullerLyer,-0.30447,-9.0,MullerLyer_-9.0000_-0.30447.png,A,60.0,814950.0,0.548,arrowdown,arrowdown,0
S017,MullerLyer,-0.45,-15.0,MullerLyer_-15.000_-0.4500.png,A,61.0,816224.0,0.44,arrowdown,arrowdown,0
S017,MullerLyer,-0.30447,3.0,MullerLyer_3.00000_-0.30447.png,A,62.0,817557.0,0.553,arrowdown,arrowdown,0
S017,MullerLyer,0.30447,-9.0,MullerLyer_-9.0000_0.30447.png,A,63.0,818890.0,0.454,arrowup,arrowup,0
S017,MullerLyer,-0.45,15.0,MullerLyer_15.0000_-0.4500.png,A,64.0,820212.0,0.893,arrowdown,arrowdown,0
S017,MullerLyer,0.18509,3.0,MullerLyer_3.00000_0.18509.png,A,65.0,822129.0,0.491,arrowup,arrowup,0
S017,MullerLyer,-0.30447,-15.0,MullerLyer_-15.000_-0.30447.png,A,66.0,823402.0,0.396,arrowdown,arrowdown,0
S017,MullerLyer,-0.45,3.0,MullerLyer_3.00000_-0.4500.png,A,67.0,824548.0,0.55,arrowdown,arrowdown,0
S017,MullerLyer,-0.45,9.0,MullerLyer_9.00000_-0.4500.png,A,68.0,825799.0,0.611,arrowdown,arrowdown,0
S017,MullerLyer,0.45,-27.0,MullerLyer_-27.000_0.45000.png,A,69.0,827288.0,0.409,arrowup,arrowup,0
S017,MullerLyer,0.45,-3.0,MullerLyer_-3.0000_0.45000.png,A,70.0,828492.0,0.411,arrowup,arrowup,0
S017,MullerLyer,-0.30447,15.0,MullerLyer_15.0000_-0.30447.png,A,71.0,829737.0,2.602,arrowdown,arrowdown,0
S017,MullerLyer,0.45,21.0,MullerLyer_21.0000_0.45000.png,A,72.0,833318.0,1.031,arrowup,arrowup,0
S017,MullerLyer,0.18509,-3.0,MullerLyer_-3.0000_0.18509.png,A,73.0,835159.0,0.658,arrowup,arrowup,0
S017,MullerLyer,0.08716,21.0,MullerLyer_21.0000_0.08716.png,A,74.0,836857.0,0.465,arrowdown,arrowup,1
S017,MullerLyer,0.30447,9.0,MullerLyer_9.00000_0.30447.png,A,75.0,838229.0,0.545,arrowup,arrowup,0
S017,MullerLyer,0.30447,21.0,MullerLyer_21.0000_0.30447.png,A,76.0,839609.0,0.476,arrowdown,arrowup,1
S017,MullerLyer,0.08716,3.0,MullerLyer_3.00000_0.08716.png,A,77.0,841011.0,0.915,arrowup,arrowup,0
S017,MullerLyer,-0.30447,27.0,MullerLyer_27.0000_-0.30447.png,A,78.0,842972.0,0.528,arrowup,arrowdown,1
S017,MullerLyer,0.08716,-9.0,MullerLyer_-9.0000_0.08716.png,A,79.0,844374.0,0.565,arrowup,arrowup,0
