Participant,Experimenter,Experiment_Duration,Date,Mobile,Gender,Age,Education,Ethnicity,PID5_Duration,PID5_Order,PID5_NegativeAffect_10,PID5_Antagonism_25,PID5_Psychoticism_24,PID5_NegativeAffect_8,PID5_Detachment_14,PID5_Antagonism_22,PID5_NegativeAffect_9,PID5_Psychoticism_12,PID5_Antagonism_19,PID5_Antagonism_20,PID5_NegativeAffect_11,PID5_Disinhibition_1,PID5_Detachment_13,PID5_Psychoticism_7,PID5_Psychoticism_21,PID5_Disinhibition_6,PID5_Psychoticism_23,PID5_Detachment_18,PID5_Disinhibition_3,PID5_Antagonism_17,PID5_Detachment_4,PID5_Detachment_16,PID5_Disinhibition_5,PID5_Disinhibition_2,PID5_NegativeAffect_15,IPIP6_Duration,IPIP6_Order,IPIP6_Extraversion_1,IPIP6_Agreeableness_2,IPIP6_Conscientiousness_3,IPIP6_Neuroticism_4,IPIP6_Openness_5,IPIP6_HonestyHumility_6_R,IPIP6_Extraversion_7_R,IPIP6_Agreeableness_8_R,IPIP6_Openness_9_R,IPIP6_Conscientiousness_10,IPIP6_Conscientiousness_11_R,IPIP6_HonestyHumility_12_R,IPIP6_Openness_13_R,IPIP6_Agreeableness_14,IPIP6_Neuroticism_15_R,IPIP6_Neuroticism_16,IPIP6_Neuroticism_17_R,IPIP6_HonestyHumility_18_R,IPIP6_Extraversion_19_R,IPIP6_Agreeableness_20_R,IPIP6_Openness_21_R,IPIP6_Conscientiousness_22_R,IPIP6_Extraversion_23,IPIP6_HonestyHumility_24_R,SSS_Duration,SSS_Order,SSS_19,SSS_10,SSS_20,SSS_14,SSS_7,SSS_11,SSS_9,SSS_2,SSS_16,SSS_5,SSS_18,SSS_1,SSS_8,SSS_17,SSS_3,SSS_21,SSS_4,SSS_12,SSS_13,SSS_6,SSS_15,MIST_Duration,MIST_Order,MIST_Real_A_3,MIST_Real_B_6,MIST_Fake_C_13,MIST_Real_B_7,MIST_Fake_D_16,MIST_Fake_C_10,MIST_Fake_D_15,MIST_Fake_C_9,MIST_Real_A_2,MIST_Real_A_1,MIST_Real_B_8,MIST_Real_A_5,MIST_Fake_D_14,MIST_Fake_C_11,MIST_Fake_C_12,MIST_Real_A_4
S001,Experimenter1,24.46725,26/12/2023,False,Female,22,High School,White,2.0397166666666666,4,1,0,2,0,1,0,0,0,1,0,0,1,1,2,3,1,0,0,1,0,0,0,1,2,0,1.8378333333333332,1,0.7,0.88,0.63,0.22,0.67,0.07,0.08,0.07,0.08,0.5,0.14,0.27,0.07,0.98,0.74,0.08,0.83,0.05,0.14,0.01,0.01,0.26,0.93,0.03,2.2535000000000003,2,4,1,0,2,1,1,0,1,0,1,0,2,2,1,0,1,1,0,2,0,0,1.5363166666666668,3,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0
S002,Experimenter_DM,36.47005,30/01/2024,False,Male,49,Master,White,4.68955,3,3,1,1,1,0,0,2,0,2,1,1,1,0,1,2,2,2,1,2,0,2,2,2,2,0,3.363808333333333,1,0.5,0.3,0.27,0.31,0.87,0.5,0.77,0.68,0.28,0.28,0.77,0.5,0.2,0.62,0.17,0.82,0.58,0.08,0.73,0.7,0.08,0.87,0.26,0.75,3.523883333333333,2,2,0,0,1,1,2,0,1,3,0,1,1,0,0,0,0,2,1,3,2,0,4.004700000000001,4,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
S003,SONA,25.302533333333333,01/02/2024,False,Female,20,High School,White,1.8005,1,3,2,3,1,0,2,3,3,3,0,3,3,0,3,3,2,3,1,3,1,2,1,2,2,3,0.9727549999999503,4,0.74,0.95,0.68,1.0,1.0,0.8,0.0,0.06,0.0,1.0,0.67,0.74,0.0,1.0,0.25,1.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5062,3,3,4,2,4,4,3,3,2,4,2,1,4,2,3,0,4,0,0,3,0,0,1.8823,2,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0
S004,SONA,28.825583333333334,01/02/2024,False,Female,19,High School,White,4.828683333333333,1,2,0,1,1,0,0,2,1,2,0,1,2,1,3,3,2,3,1,2,0,1,2,2,2,1,2.408298333334923,2,0.86,0.74,0.18,0.81,0.89,0.18,0.18,0.21,0.31,0.2,0.88,0.5,0.28,0.67,0.38,0.5,0.5,0.93,0.33,0.26,0.17,0.89,0.85,0.19,2.74435,4,3,3,3,3,2,2,1,3,3,2,3,3,1,1,0,3,3,2,3,2,0,1.0749333333333333,3,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0
S005,SONA,19.07595,07/02/2024,False,Female,20,Bachelor,White,1.2926833333333334,4,1,0,1,1,1,0,2,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,2,1.322816666666667,1,0.85,0.85,0.85,0.71,0.59,0.63,0.35,0.33,0.43,0.62,0.43,0.53,0.46,0.56,0.46,0.67,0.47,0.53,0.44,0.15,0.54,0.41,0.62,0.63,1.4797833333333335,2,3,2,0,1,1,3,2,2,2,2,3,1,2,3,0,1,3,3,2,1,0,0.96025,3,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
S006,SONA,24.880550000000003,07/02/2024,False,Female,19,High School,Asian,1.5494333333333332,2,3,2,0,3,0,0,2,0,2,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,1.3986083333333332,1,0.2,0.72,0.25,0.8,0.56,0.44,0.89,0.39,0.42,0.49,0.65,0.59,0.57,0.55,0.43,0.58,0.2,0.59,0.68,0.64,0.68,0.23,0.35,0.55,1.31495,3,1,1,0,1,1,2,2,1,3,0,0,2,0,0,0,3,1,2,2,0,0,2.028966666666667,4,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0
S007,SONA,18.691183333333335,08/02/2024,False,Female,21,High School,White,1.1847166666666666,3,1,0,0,2,1,0,2,0,2,0,1,0,0,2,1,0,0,1,1,0,3,1,0,1,2,1.0511566666666574,2,0.24,0.69,0.88,0.81,0.32,0.09,0.2,0.09,0.1,0.3,0.66,0.1,0.73,0.63,0.67,0.73,0.18,0.05,0.67,0.15,0.24,0.76,0.17,0.1,1.0571833333333334,4,3,1,0,2,2,1,3,0,3,0,2,3,0,3,0,2,3,1,3,0,0,1.5293999999999999,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0
S008,SONA,19.902483333333333,21/02/2024,False,Female,18,High School,Asian,1.3623666666666667,2,2,0,0,3,1,0,3,0,2,0,0,0,3,1,1,0,0,3,0,0,3,1,0,0,2,1.4491383333345254,1,0.0,1.0,0.63,0.64,0.5,0.0,1.0,0.2,0.42,0.71,0.36,0.19,0.5,0.65,0.16,1.0,0.7,0.25,1.0,0.14,0.5,0.21,0.0,0.0,1.2381166666666668,4,4,2,1,2,1,2,0,1,4,1,2,2,2,0,1,1,1,0,2,0,0,0.98065,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S009,SONA,55.7342,23/02/2024,False,Male,18,Other,White,19.978333333333335,2,0,1,2,0,0,0,0,0,0,2,2,2,0,2,2,3,3,2,2,0,1,2,2,2,1,1.5002033333331348,1,0.38,0.61,0.73,0.38,0.29,0.34,0.86,0.79,0.81,0.78,0.74,0.0,0.73,0.27,0.27,0.23,0.36,0.71,0.34,0.27,0.37,0.26,0.3,0.7,0.89935,3,0,3,1,3,3,1,2,3,2,3,2,2,2,3,0,1,2,2,3,3,2,0.8900166666666667,4,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1
S010,SONA,34.2007,26/02/2024,False,Female,19,Doctorate,White,8.789683333333333,2,3,1,2,3,0,2,3,3,1,0,2,1,0,2,3,1,2,1,3,0,1,2,1,1,3,6.208471666666369,1,0.21,1.0,0.35,0.91,0.81,0.25,0.52,0.17,0.26,1.0,0.0,0.49,0.28,0.73,0.0,0.69,0.17,0.0,0.5,0.5,0.5,0.0,0.73,0.0,1.3024666666666667,4,3,1,0,1,1,1,2,1,3,1,0,2,0,0,1,2,2,1,3,2,0,1.4737666666666667,3,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1
